GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.ruoyi.web.controller.tool,SwaggerController,7,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,com.ruoyi.web.controller.tool,BuildController,16,0,0,0,3,0,2,0,2,0
JaCoCo Coverage Report,com.ruoyi.web.controller.tool,TestController,127,0,20,0,25,0,17,0,7,0
JaCoCo Coverage Report,com.ruoyi.web.controller.tool,UserEntity,46,0,0,0,20,0,10,0,10,0
JaCoCo Coverage Report,com.ruoyi.web.core.config,SwaggerConfig,46,0,0,0,14,0,3,0,3,0
JaCoCo Coverage Report,com.ruoyi.web.controller.system,SysDictDataController,104,0,0,0,19,0,9,0,9,0
JaCoCo Coverage Report,com.ruoyi.web.controller.system,SysProfileController,304,0,20,0,55,0,20,0,10,0
JaCoCo Coverage Report,com.ruoyi.web.controller.system,SysRegisterController,31,0,4,0,6,0,5,0,3,0
JaCoCo Coverage Report,com.ruoyi.web.controller.system,SysLoginController,62,0,4,0,16,0,6,0,4,0
JaCoCo Coverage Report,com.ruoyi.web.controller.system,SysNoticeController,102,0,0,0,16,0,9,0,9,0
JaCoCo Coverage Report,com.ruoyi.web.controller.system,SysMenuController,221,0,10,0,42,0,18,0,13,0
JaCoCo Coverage Report,com.ruoyi.web.controller.system,SysCaptchaController,108,0,6,0,33,0,5,0,2,0
JaCoCo Coverage Report,com.ruoyi.web.controller.system,SysDictTypeController,197,0,4,0,33,0,16,0,14,0
JaCoCo Coverage Report,com.ruoyi.web.controller.system,SysIndexController,283,0,36,0,57,0,28,0,10,0
JaCoCo Coverage Report,com.ruoyi.web.controller.system,SysPostController,191,0,8,0,29,0,15,0,11,0
JaCoCo Coverage Report,com.ruoyi.web.controller.system,SysConfigController,148,0,4,0,25,0,13,0,11,0
JaCoCo Coverage Report,com.ruoyi.web.controller.system,SysUserController,593,15,36,0,86,3,42,1,24,1
JaCoCo Coverage Report,com.ruoyi.web.controller.system,SysRoleController,392,0,10,0,61,0,28,0,23,0
JaCoCo Coverage Report,com.ruoyi.web.controller.system,SysDeptController,252,0,20,0,43,0,21,0,11,0
JaCoCo Coverage Report,com.ruoyi.web.controller.demo.domain,CustomerModel,76,0,0,0,27,0,14,0,14,0
JaCoCo Coverage Report,com.ruoyi.web.controller.demo.domain,UserOperateModel,96,0,0,0,40,0,20,0,20,0
JaCoCo Coverage Report,com.ruoyi.web.controller.demo.domain,GoodsModel,65,0,0,0,23,0,12,0,12,0
JaCoCo Coverage Report,com.ruoyi.web.controller.common,CommonController,215,50,6,2,47,12,9,1,5,1
JaCoCo Coverage Report,com.ruoyi.web.controller.demo.controller,DocumentModel,56,0,0,0,24,0,12,0,12,0
JaCoCo Coverage Report,com.ruoyi.web.controller.demo.controller,DemoOperateController,945,0,36,0,121,0,35,0,17,0
JaCoCo Coverage Report,com.ruoyi.web.controller.demo.controller,UserTableModel,96,0,0,0,40,0,20,0,20,0
JaCoCo Coverage Report,com.ruoyi.web.controller.demo.controller,UserTableColumn,26,0,0,0,12,0,6,0,6,0
JaCoCo Coverage Report,com.ruoyi.web.controller.demo.controller,DemoDialogController,96,0,0,0,11,0,10,0,10,0
JaCoCo Coverage Report,com.ruoyi.web.controller.demo.controller,DemoIconController,26,0,0,0,4,0,3,0,3,0
JaCoCo Coverage Report,com.ruoyi.web.controller.demo.controller,AreaModel,88,0,0,0,33,0,16,0,16,0
JaCoCo Coverage Report,com.ruoyi.web.controller.demo.controller,DemoFormController,547,0,0,0,92,0,27,0,27,0
JaCoCo Coverage Report,com.ruoyi.web.controller.demo.controller,DemoReportController,46,0,0,0,6,0,5,0,5,0
JaCoCo Coverage Report,com.ruoyi.web.controller.demo.controller,DemoTableController,2056,0,66,0,228,0,73,0,40,0
JaCoCo Coverage Report,com.ruoyi.web.controller.demo.controller,UserFormModel,46,0,0,0,20,0,10,0,10,0
JaCoCo Coverage Report,com.ruoyi.web.controller.monitor,SysUserOnlineController,96,0,8,0,20,0,8,0,4,0
JaCoCo Coverage Report,com.ruoyi.web.controller.monitor,DruidController,18,0,0,0,3,0,2,0,2,0
JaCoCo Coverage Report,com.ruoyi.web.controller.monitor,SysLogininforController,62,0,0,0,14,0,7,0,7,0
JaCoCo Coverage Report,com.ruoyi.web.controller.monitor,ServerController,27,0,0,0,6,0,2,0,2,0
JaCoCo Coverage Report,com.ruoyi.web.controller.monitor,CacheController,116,0,0,0,19,0,8,0,8,0
JaCoCo Coverage Report,com.ruoyi.web.controller.monitor,SysOperlogController,73,0,0,0,14,0,7,0,7,0
JaCoCo Coverage Report,com.ruoyi,RuoYiServletInitializer,12,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,com.ruoyi,RuoYiApplication,11,0,0,0,4,0,2,0,2,0
